date,px,ret
2022-10-06,7076.62,0.0001752556046459297
2022-10-07,7026.78,-0.007042910315941842
2022-10-10,6994.4,-0.004608085068836698
2022-10-11,6939.15,-0.007899176484044368
2022-10-12,6909.21,-0.004314649488770139
2022-10-13,6880.63,-0.0041365076470392115
2022-10-14,6814.53,-0.009606678458222606
2022-10-17,6831.12,0.0024345039202997576
2022-10-18,6834.49,0.0004933305226668683
2022-10-19,6860.42,0.0037939919438028102
2022-10-20,6980.65,0.017525166097702494
2022-10-21,7017.77,0.005317556388015454
2022-10-24,7053.04,0.005025813043174621
2022-10-25,7048.38,-0.0006607080067602134
2022-10-26,7043.94,-0.0006299319843710016
2022-10-27,7091.76,0.006788814214771843
2022-10-28,7056.04,-0.005036831477658654
2022-10-31,7098.89,0.006072811378620369
2022-11-01,7052.3,-0.006562997877132881
2022-11-02,7015.69,-0.005191214213802642
2022-11-03,7034.57,0.002691110924228468
2022-11-04,7045.53,0.0015580198931846034
2022-11-07,7102.4,0.008071784521533454
2022-11-08,7050.13,-0.007359484118044546
2022-11-09,7070.08,0.0028297350545309907
2022-11-10,6966.84,-0.014602380736851606
2022-11-11,7089.21,0.017564634755498965
2022-11-14,7019.39,-0.009848770173263244
2022-11-15,7035.5,0.0022950712241376348
2022-11-16,7014.38,-0.00300191884016765
2022-11-17,7044.99,0.004363892460915952
2022-11-18,7082.18,0.00527892871388036
2022-11-21,7063.25,-0.0026729058001915273
2022-11-22,7030.59,-0.0046239337415495685
2022-11-23,7054.12,0.0033468030421344164
2022-11-24,7080.52,0.0037424937483343523
2022-11-25,7053.15,-0.0038655352996673775
2022-11-28,7017.36,-0.005074328491525004
2022-11-29,7012.07,-0.0007538447507324797
2022-11-30,7081.31,0.00987440228063896
2022-12-01,7020.8,-0.008545029097723478
2022-12-02,7019.64,-0.00016522333637192244
2022-12-05,6987.33,-0.004602800143597152
2022-12-06,6892.57,-0.013561689515165343
2022-12-07,6818.75,-0.010710083466689446
2022-12-08,6804.23,-0.002129422548121096
2022-12-09,6715.12,-0.013096265117434225
2022-12-12,6734.45,0.002878578491523509
2022-12-13,6810.32,0.011265953418616137
2022-12-14,6801.75,-0.001258384334363094
2022-12-15,6751.86,-0.007334877053699507
2022-12-16,6812.19,0.008935315601922955
2022-12-19,6779.7,-0.00476939134111054
2022-12-20,6768.32,-0.0016785403483929873
2022-12-21,6820.66,0.007733085906103776
2022-12-22,6824.43,0.000552732433518166
2022-12-23,6800.67,-0.0034816094530971675
2022-12-26,6835.81,0.005167137943761446
2022-12-27,6923.03,0.012759277978761752
2022-12-28,6850.52,-0.010473737655332882
2022-12-29,6860.08,0.0013955145010888792
2022-12-30,6850.62,-0.0013789926648085649
2023-01-02,6850.98,5.2549988176275875e-05
2023-01-03,6888.76,0.0055145395257321095
2023-01-04,6813.24,-0.010962785755346482
2023-01-05,6653.84,-0.02339562381480753
2023-01-06,6684.56,0.004616882882666262
2023-01-09,6688.27,0.0005550103522147243
2023-01-10,6622.5,-0.009833634108670886
2023-01-11,6584.45,-0.005745564363910938
2023-01-12,6629.93,0.006907182832279091
2023-01-13,6641.83,0.001794890745452804
2023-01-16,6688.06,0.006960431086010965
2023-01-17,6767.34,0.011853960640305194
2023-01-18,6765.79,-0.00022904124811229387
2023-01-19,6819.91,0.007999065888831813
2023-01-20,6874.93,0.00806755514368973
2023-01-24,6860.85,-0.002048020852575938
2023-01-25,6829.93,-0.0045067302156438505
2023-01-26,6864.82,0.0051083978898758264
2023-01-27,6898.98,0.004976095513065104
2023-01-30,6872.48,-0.00384114753195397
2023-01-31,6839.34,-0.004822131166623889
2023-02-01,6862.26,0.003351200554439382
2023-02-02,6890.57,0.004125463039873045
2023-02-03,6911.73,0.0030708635134684137
2023-02-06,6873.79,-0.0054892190522487505
2023-02-07,6935.3,0.008948484024097425
2023-02-08,6940.12,0.0006949951696393342
2023-02-09,6897.37,-0.006159835852982409
2023-02-10,6880.33,-0.002470506874359346
2023-02-13,6900.14,0.002879222362880851
2023-02-14,6941.85,0.0060448048880168415
2023-02-15,6914.54,-0.0039341097834151295
2023-02-16,6895.66,-0.0027304780939875206
2023-02-17,6895.71,7.250937546166014e-06
2023-02-20,6894.72,-0.00014356752241606596
2023-02-21,6873.4,-0.0030922212939757943
2023-02-22,6809.97,-0.009228329502138588
2023-02-23,6839.45,0.004328947117241189
2023-02-24,6856.58,0.002504587357170518
2023-02-27,6854.78,-0.0002625215486438126
2023-02-28,6843.24,-0.0016834967715958493
2023-03-01,6844.94,0.00024842033890370985
2023-03-02,6857.42,0.0018232446157309123
2023-03-03,6813.64,-0.006384325300185734
2023-03-06,6807.0,-0.0009745158241409868
2023-03-07,6766.76,-0.005911561627736095
2023-03-08,6776.37,0.0014201774556803493
2023-03-09,6799.79,0.003456127690784294
2023-03-10,6765.3,-0.005072215465477536
2023-03-13,6786.96,0.0032016318566803204
2023-03-14,6641.81,-0.02138660018623939
2023-03-15,6628.14,-0.0020581739013914024
2023-03-16,6565.73,-0.009415914570301886
2023-03-17,6678.24,0.01713594680256425
2023-03-20,6612.49,-0.009845408371067843
2023-03-21,6691.61,0.011965235486178338
2023-03-24,6762.25,0.010556502844606852
2023-03-27,6708.93,-0.007884949536027142
2023-03-28,6760.33,0.007661430362218669
2023-03-29,6839.44,0.011702091465949138
2023-03-30,6808.95,-0.004457967318961753
2023-03-31,6805.28,-0.0005389964678842452
2023-04-03,6827.17,0.0032166200362071518
2023-04-04,6833.18,0.0008803061883622121
2023-04-05,6819.67,-0.001977117535320372
2023-04-06,6792.77,-0.003944472386493758
2023-04-10,6771.23,-0.0031710185977150696
2023-04-11,6811.31,0.005919160920541788
2023-04-12,6798.96,-0.0018131607576222786
2023-04-13,6785.6,-0.0019650064127454403
